leagueId,seasonId
54457dce300969b132fcfb37,5a5ddf010b62ed00ed52289b
54457dce300969b132fcfb37,5769aea35762021398c59091
54457dce300969b132fcfb38,5a5ddf010b62ed00ed5228bb
54457dce300969b132fcfb38,57b63ce457620213988eb087
54457dce300969b132fcfb37,57589fa55762021398add0dc
54457dce300969b132fcfb38,57589fa55762021398add0e6
54457dce300969b132fcfb37,57589fa55762021398add0db
54457dce300969b132fcfb38,57589fa55762021398add0e5
54457dce300969b132fcfb3f,5a5ddf020b62ed00ed5229bc
54457dce300969b132fcfb3f,57a9b93e5762021398676c92
54457dce300969b132fcfb37,57589fa55762021398add0da
54457dce300969b132fcfb38,57589fa55762021398add0e4
54457dce300969b132fcfb3f,57589fa55762021398add129
54457dce300969b132fcfb37,57589fa55762021398add0d8
54457dce300969b132fcfb37,57589fa55762021398add0d9
54457dce300969b132fcfb37,57589fa55762021398add0d7
54457dce300969b132fcfb37,5bacb492aeda719939e6ed68
54457dce300969b132fcfb38,5bc74da8aeda7199391fc713
54457dce300969b132fcfb38,57589fa55762021398add0e3
54457dce300969b132fcfb3f,57589fa55762021398add128
54457dce300969b132fcfb38,57589fa55762021398add0e2
54457dce300969b132fcfb3f,57589fa55762021398add127
54457dce300969b132fcfb3f,57589fa55762021398add126
54457dce300969b132fcfb37,57589fa55762021398add0d6
54457dce300969b132fcfb3f,57589fa55762021398add125
54457dce300969b132fcfb3f,5bc0a91faeda7199395fd68f
54457dce300969b132fcfb38,57589fa55762021398add0e1
54457dce300969b132fcfb34,57589fa45762021398add0c3
54457dce300969b132fcfb34,62c726d3b7c193d1aff34888
54457dce300969b132fcfb3f,57589fa55762021398add124
54457dce300969b132fcfb34,5a5ddf010b62ed00ed522859
584d07c1d95ef3f74c79ab90,5a5ddf020b62ed00ed522aa2
54457dce300969b132fcfb34,57589fa45762021398add0c5
54457dce300969b132fcfb34,57ae10a557620213988d93a2
54457dce300969b132fcfb34,57589fa45762021398add0c7
54457dce300969b132fcfb34,57589fa45762021398add0c6
54457dce300969b132fcfb34,57589fa45762021398add0c8
54457dce300969b132fcfb39,5a5ddf010b62ed00ed5228d8
54457dce300969b132fcfb34,57589fa45762021398add0c2
54457dce300969b132fcfb34,57589fa45762021398add0c1
54457dce300969b132fcfb34,57589fa45762021398add0c0
54457dce300969b132fcfb34,57589fa45762021398add0be
54457dce300969b132fcfb34,57589fa45762021398add0c4
54457dce300969b132fcfb34,57589fa45762021398add0bf
54457dce300969b132fcfb3c,58ac047535268c61b0c585aa
54457dce300969b132fcfb39,575e5a2e5762021398c4cd97
584d07c1d95ef3f74c79ab90,5bc74da8aeda7199391fc744
54457dce300969b132fcfb41,5a5ddf020b62ed00ed522a47
54457dce300969b132fcfb39,57589fa55762021398add0f0
54457dce300969b132fcfb3f,57589fa55762021398add123
584d07c1d95ef3f74c79ab90,584d07c7d95ef3f74c79ac59
552d1a944bc1ea55eb70fb62,57589fa55762021398add14e
552d1a944bc1ea55eb70fb62,57589fa55762021398add14f
54457dce300969b132fcfb34,5bc74da8aeda7199391fc70d
54457dce300969b132fcfb38,57589fa55762021398add0e0
54457dce300969b132fcfb3c,57589fa55762021398add115
54457dce300969b132fcfb36,5a5ddf010b62ed00ed522935
5526d40e4bc1ea55eb70f4ef,57589fa55762021398add14c
54457dce300969b132fcfb41,576c24a25762021398c5c4ae
584d07c1d95ef3f74c79ab91,5a5ddf020b62ed00ed522aa8
54457dce300969b132fcfb36,584a9a24d95ef3f74c17d058
54457dce300969b132fcfb39,57589fa55762021398add0ef
54457dce300969b132fcfb39,57589fa55762021398add0ed
552d1a944bc1ea55eb70fb62,58fbb92735268c61b0d33db9
54457dce300969b132fcfb36,57589fa55762021398add108
54457dce300969b132fcfb39,57589fa55762021398add0ee
54457dce300969b132fcfb36,57589fa55762021398add107
584d07c1d95ef3f74c79ab91,5bc74da8aeda7199391fc745
54457dce300969b132fcfb36,57589fa55762021398add106
5526d40e4bc1ea55eb70f4ef,57589fa55762021398add14d
54457dce300969b132fcfb36,57589fa55762021398add104
54457dce300969b132fcfb36,57589fa55762021398add105
5526d40e4bc1ea55eb70f4ef,58fd2a4a35268c61b0df23c7
54457dce300969b132fcfb36,57589fa55762021398add103
54457dce300969b132fcfb34,57589fa45762021398add0bd
54457dce300969b132fcfb36,57589fa55762021398add102
54457dce300969b132fcfb39,57589fa55762021398add0ec
544d0415300969b1320155a0,5a5ddf020b62ed00ed522a60
544d0415300969b1320155a0,57d257315762021398ccb087
55a494ee1e31501db4413545,57589fa55762021398add150
54457dce300969b132fcfb35,57589fa45762021398add0ce
54457dce300969b132fcfb35,57589fa45762021398add0d0
54457dce300969b132fcfb35,57589fa45762021398add0cf
54457dce300969b132fcfb35,57589fa45762021398add0cc
54457dce300969b132fcfb35,5905273435268c61b048e384
584d07c1d95ef3f74c79ab91,584d07c7d95ef3f74c79ac5a
571019cc50238a164768bf93,5903cb2935268c61b0526d28
54457dce300969b132fcfb35,57589fa45762021398add0cb
54457dce300969b132fcfb35,57589fa45762021398add0cd
54457dce300969b132fcfb36,5bc74da8aeda7199391fc71b
544d0415300969b1320155a0,57589fa55762021398add14b
571beef550238a1647698b10,590fb46135268c61b0d79486
55a494ee1e31501db4413545,5a5ddf020b62ed00ed522a82
54457dce300969b132fcfb41,57589fa55762021398add144
54457dce300969b132fcfb41,57589fa55762021398add145
54457dce300969b132fcfb35,57589fa45762021398add0ca
55a494ee1e31501db4413545,577fe2e25762021398461746
54457dce300969b132fcfb39,57589fa55762021398add0eb
54457dce300969b132fcfb3a,57589fa55762021398add0f8
54457dce300969b132fcfb3a,5776b9dd5762021398fe3f11
54457dce300969b132fcfb3a,57589fa55762021398add0f9
54457dce300969b132fcfb3a,57589fa55762021398add0f6
54457dce300969b132fcfb3a,5a5ddf010b62ed00ed5228fa
54457dce300969b132fcfb3a,57589fa55762021398add0f7
54457dce300969b132fcfb40,5a5ddf020b62ed00ed52298a
54457dce300969b132fcfb39,5bc74da8aeda7199391fc716
54457dce300969b132fcfb3a,57589fa55762021398add0f5
544d0415300969b1320155a0,5bc74da8aeda7199391fc732
54457dce300969b132fcfb39,57589fa55762021398add0ea
54457dce300969b132fcfb41,57589fa55762021398add142
54457dce300969b132fcfb3c,57589fa55762021398add113
54457dce300969b132fcfb3c,5bc0a653aeda719939591707
54457dce300969b132fcfb41,57589fa55762021398add143
54457dce300969b132fcfb41,5bc74da8aeda7199391fc725
54457dce300969b132fcfb40,5bd2ff84aeda7199390aacde
54457dce300969b132fcfb3c,57589fa55762021398add114
54457dce300969b132fcfb3e,578fb12257620213984bc5e4
54457dce300969b132fcfb40,57589fa55762021398add11f
54457dce300969b132fcfb3c,57589fa55762021398add110
54457dce300969b132fcfb43,57589fa55762021398add146
54457dce300969b132fcfb43,57589fa55762021398add148
54457dce300969b132fcfb43,5a5ddf020b62ed00ed522a57
544d0415300969b1320155a0,57589fa55762021398add14a
54457dce300969b132fcfb43,57589fa55762021398add147
54457dce300969b132fcfb3c,57589fa55762021398add10f
54457dce300969b132fcfb3c,57589fa55762021398add111
54457dce300969b132fcfb3e,57589fa55762021398add13b
54457dce300969b132fcfb3c,57589fa55762021398add112
54457dce300969b132fcfb3e,57589fa55762021398add13c
54457dce300969b132fcfb3e,57589fa55762021398add13e
54457dce300969b132fcfb3d,57589fa55762021398add132
54457dce300969b132fcfb3d,5a5ddf020b62ed00ed5229f8
54457dce300969b132fcfb3d,57589fa55762021398add133
54457dce300969b132fcfb3c,57589fa55762021398add10e
5727869b50238a16476a3109,5bbc5dfcaeda719939053c0b
54457dce300969b132fcfb3d,57589fa55762021398add12e
54457dce300969b132fcfb34,5e3175a37455336e87940e00
54457dce300969b132fcfb37,57589fa55762021398add0d5
54457dce300969b132fcfb3d,57589fa55762021398add12f
54457dce300969b132fcfb38,57589fa55762021398add0df
54457dce300969b132fcfb37,5e3175a37455336e87940e16
54457dce300969b132fcfb40,57589fa55762021398add11e
54457dce300969b132fcfb37,57589fa45762021398add0d3
54457dce300969b132fcfb38,57589fa55762021398add0dd
5bbf83faaeda719939c4932d,5bc74da8aeda7199391fc747
5f117f796b31688c9445cf51,5f117f796b31688c9445cf52